Basic_Setting;"Configuración Básica Paymill"
TEXT_INFO_API_VERSION;"Versión API"
action_delete;"Borrar selección"
amount_description;"Cantidad en la menor cantidad posible de notación (ej. 100 para 100€)"
amount_label;Cantidad
backend_log_dev_info_additional;"Información Adicional del Desarrollador"
capture_description;"Si se ha autorizado la cantidad durante el proceso de compra, la cantidad puede cargarse aquí."
capture_label;Cargar
config_sepa_date;"Days until the debit"
checkout_desc;"Texto descriptivo"
checkout_generating_invoice;"Se está generando la factura"
config_acceptedCurrencies_description;"Si no se ha seleccionado nada, se aceptan todas las monedas."
config_acceptedCurrencies_label;"Monedas aceptadas"
config_activate_text;Activar
config_breadcrumb_payment;Pago
config_buttonSolution;"Habilitar botón solución"
config_countries_description;"Si no se ha seleccionado nada, se aceptan todos los países."
config_countries_label;"Países aceptados"
config_debugging_description;"Si está activado, la información relevante se mostrará en el navegador durante el proceso de pago"
config_debugging_label;"Activar debugging"
config_fastCheckout_description;"Si está activado, los datos de tus clientes serán almacenados por PAYMILL y estarán disponibles de nuevo para futuras compras. El cliente simplemente tendrá que introducir sus datos una vez. Esta solución cumple con la normativa del PCI."
config_fastCheckout_label;"Activar la compra rápida"
config_general_header;"Configuración principal"
config_logging_description;"Si está activado, la información en relación con el progreso del proceso del pedido se escribirá en el registro."
config_logging_label;"Activar el registro"
config_order_state_label;"Estado del pedido"
config_payment_cc;"Activar tarjeta de crédito"
config_payment_date;"Marcar pedido como pagado"
config_payment_elv;"Activar débito directo"
config_payment_header;"Configuración del pago"
config_preAuth_description;"Si está activado, tendras que capturar las transacciones entrantes manualmente."
config_preAuth_label;"Autorizar previamente las transacciones durante el proceso de compra. El cargo será manual."
config_preAuth_label_magento;"Autorizar previamente las transacciones durante el proceso de compra. Los cargos se llevarán a cabo una vez generadas las facturas."
config_privateKey_description;"Puedes encontrar tu clave privada en el Cockpit de PAYMILL"
config_privateKey_label;"Clave privada"
config_publicKey_description;"Puede encontrar su clave pública en el Cockpit de PAYMILL"
config_publicKey_label;"Clave pública"
config_save;Guardar
config_sepa_active_description;"Actualmente sólo disponible para datos bancarios de Alemania"
config_sepa_active_label;"Mostrar solicitud SEPA"
config_showlabel_description;"Mostrar el logo de PAYMILL debajo del formulario de pago durante el proceso de compra."
config_showlabel_label;"Mostrar el logo de PAYMILL durante el proceso de compra."
config_sort_description;"Posición durante el proceso de compra."
config_sort_label;Secuencia
config_title;PAYMILL
config_tokenTolerance_description;"Cantidad adicional que se cargará cuando se genere el Token de PAYMILL. Esto es para evitar desviaciones en el 3D Secure"
config_tokenTolerance_label;"Tolerancia del Token"
config_transaction_order_status_id_description;"Incluya información de la transacción en este nivel de estado del pedido"
config_transaction_order_status_id_label;"Estado de la Transacción"
config_webhooks_create;"Crear Webhooks"
config_webhooks_description;"Sincronizar automáticamente mis reembolsos con mi tienda desde la Cabina PAYMILL"
config_webhooks_label;"Habilitar Webhooks"
config_webhooks_remove;"Eliminar Webhooks"
config_webhooks_url;"Webhook-URL registrada"
config_zone_description;"Por favor, introduzca individualmente las zonas a las que se debería permitir el uso de este módulo (p.ej. EEUU, Reino Unido (deje en blanco para autorizar a todas las zonas))"
config_zone_label;"Zonas Permitidas"
currency_description;"Abreviatura de la moneda (ej. EUR)"
currency_label;Moneda
error_text_invalid_token;"El siguiente error ha ocurrido:"
error_text_no_entry_selected;"Por favor, seleccione una entrada"
feedback_info_sepa_date;"The direct debit is drawn to the following date"
feedback_capture_failure;"Captura fallida"
feedback_capture_success;"Captura realizada con éxito"
feedback_config_error_differentamount;"El valor de tolerancia del indicador debe ser un número válido"
feedback_config_error_privatekey;"Por favor, introduzca una clave privada válida"
feedback_config_error_publickey;"Por favor, introduzca una clave pública válida"
feedback_config_permission;"No tiene permiso para modificar la configuración"
feedback_config_saved;"Sus cambios han sido guardados satisfactoriamente"
feedback_deleteLogEntry_failure;"Eliminación fallida"
feedback_deleteLogEntry_success;"Entradas borradas con éxito"
feedback_deleteLog_failure;"El registro no se puede vaciar"
feedback_deleteLog_success;"Registro borrado con éxito"
feedback_error_creditcard_cvc;"CVC inválido"
feedback_error_creditcard_holder;"Por favor, introduce el nombre del titular de la tarjeta"
feedback_error_creditcard_number;"Por favor, introduce un número válido de tarjeta de crédito."
feedback_error_creditcard_parent;"Por favor, introduce los datos de tu tarjeta de crédito. Por razones de seguridad, NO almacenaremos tus datos en nuestros servidores."
feedback_error_creditcard_valid;"Fecha de expiración inválida"
feedback_error_directdebit_bankcode;"Por favor, introduce un código bancario válido de domiciliación bancaria."
feedback_error_directdebit_holder;"Por favor, introduce el nombre del titular de la cuenta para la domiciliación bancaria."
feedback_error_directdebit_number;"Por favor, introduce un número válido de la cuenta para la domiciliación bancaria."
feedback_error_directdebit_parent;"Por favor, introduce tus datos bancarios para la domiciliación bancaria. Por razones de seguridad, NO almacenaremos tus datos en nuestros servidores."
feedback_error_general_unknown;"Ha ocurrido un error mientras procesábamos tu pago."
