amount_description;"Importo nella più piccola notazione disponibile (ad es.:  100 per 1.00 €)"
amount_label;Importo
capture_description;"Se l'importo è stato autorizzato al momento del pagamento, l'importo può essere addebitato qui."
capture_label;Addebito
config_acceptedCurrencies_description;"Se non è stato selezionato nulla, saranno accettate tutte le valute"
config_acceptedCurrencies_label;"Valute accettate"
config_activate_text;Attivare
config_countries_description;"Se non è stato selezionato nulla, saranno accettati tutti i paesi"
config_countries_label;"Paesi accettati"
config_debugging_description;"Abilitando la funzione, le informazioni rilevanti verranno visualizzate nella console del browser durante il processo di pagamento"
config_debugging_label;"Attivare il debug"
config_fastCheckout_description;"Abilitando la funzione, i dati dei suoi clienti saranno archiviati da PAYMILL e resi nuovamente disponibili per futuri acquisti. Il cliente dovrà inserire i propri dati una sola volta. Questa soluzione è conforme agli standard PCI."
config_fastCheckout_label;"Abilitare pagamento veloce"
config_logging_description;"Abilitando la funzione, le informazioni riguardanti lo stato di avanzamento dell'elaborazione dell'ordine verranno scritte nel registro."
config_logging_label;"Attivare la registrazione."
config_preAuth_description;"Abilitando la funzione, le transazioni in entrata dovranno essere acquisite manualmente."
config_preAuth_label;"Preautorizzare le transazioni al momento del pagamento. L'addebito verrà effettuato manualmente."
config_preAuth_label_magento;"Preautorizzare le transazioni al momento del pagamento. L'addebito verrà effettuato durante la generazione delle fatture."
config_privateKey_description;"Può trovare la sua chiave privata nel pannello di controllo di PAYMILL."
config_privateKey_label;"Chiave privata"
config_publicKey_description;"Può trovare la sua chiave pubblica nel pannello di controllo di PAYMILL."
config_publicKey_label;"Chiave pubblica"
config_showlabel_description;"Consente di visualizzare l'etichetta PAYMILL sotto modulo di pagamento, al momento del pagamento."
config_showlabel_label;"Visualizzare l'etichetta PAYMILL durante il pagamento."
config_sort_description;"Posizione di visualizzazione durante il pagamento."
config_sort_label;Sequenza
config_title;PAYMILL
config_tokenTolerance_description;"Importo che verrà sovraccaricato durante la generazione del Token PAYMILL. Questo per evitare deviazioni del 3-D Secure."
config_tokenTolerance_label;"Valore di tolleranza Token"
currency_description;"Abbreviazione di valuta (ad es.: EUR)"
currency_label;Valuta
feedback_capture_failure;"Acquisizione non riuscita"
feedback_capture_success;"Acquisizione riuscita"
feedback_deleteLogEntry_failure;"Eliminazione non riuscita"
feedback_deleteLogEntry_success;"Voci eliminate correttamente"
feedback_deleteLog_failure;"Il registro non può essere svuotato"
feedback_deleteLog_success;"Registro eliminato correttamente"
feedback_error_creditcard_cvc;"CVC non valido"
feedback_error_creditcard_holder;"Inserire il nome del titolare della carta."
feedback_error_creditcard_number;"Inserire un numero di carta di credito valido."
feedback_error_creditcard_parent;"Inserire i dati della carta di credito. Per motivi di privacy, NON memorizzeremo i dati sui nostri server."
feedback_error_creditcard_valid;"Data scadenza non valida"
feedback_error_directdebit_bankcode;"Inserire un codice di addebito bancario diretto valido."
feedback_error_directdebit_holder;"Inserire il nome del titolare del conto di addebito diretto"
feedback_error_directdebit_number;"Inserire un numero di conto di addebito diretto valido"
feedback_error_directdebit_parent;"Inserire i dati di addebito bancario diretto. Per motivi di privacy, NON memorizzeremo i dati sui nostri server."
feedback_error_general_unknown;"Si è verificato un errore durante l'elaborazione del pagamento."
feedback_error_general_unknown_payment;"Il metodo di pagamento non può essere identificato. Contattare il supporto per assistenza."
feedback_general_affirmation;"Sei sicuro?"
feedback_info_creditcard_slogan;"Pagamenti sicuri con carta di credito con tecnologia"
feedback_info_directdebit_slogan;"Addebito diretto con tecnologia"
feedback_info_general_required;"I campi contrassegnati con * sono obbligatori."
feedback_refund_failure;"Rimborso non riuscito"
feedback_refund_success;"Rimborso riuscito"
feedback_search_failure;"Ricerca non riuscita"
feedback_search_success;"Ricerca riuscita"
frontend_creditcard;"Carta di credito"
frontend_creditcard_button_cancel;Annullare
frontend_creditcard_label_cvc;CVC
frontend_creditcard_label_holder;"Titolare carta"
frontend_creditcard_label_number;"Numero carta"
frontend_creditcard_label_valid;"Valida fino al"
frontend_creditcard_tooltip_cvc;"Il codice CVV o CVC è una funzione di sicurezza delle carte di credito. Di solito, è un numero composto da tre o quattro cifre. Sulle carte di credito VISA, è indicato come codice CVV. Lo stesso codice può essere trovato sulle carte di credito MasterCard, dove però è denominato CVC. CVC è l'abbreviazione di  'Card Validation Code' (Codice di validazione della carta). Il codice CVV, invece, è l'abbreviazione di 'Card Validation Value code' (Codice del valore di verifica della carta). Similmente alla MasterCard e alla Visa, altre marche come la Diners Club, la Discover e la JCB contengono un numero a tre cifre che di solito può essere trovato sul retro della carta di credito. Esistono carte MAESTRO con o senza un codice CVV a tre cifre. Nel caso in cui venga utilizzata una carta MAESTRO priva di CVV, è possibile inserire 000 nel modulo. L'American Express utilizza il CID (Numero di identificazione della carta). Il CID è un numero a quattro cifre che di solito si trova sulla parte anteriore della carta, in alto a destra dal numero della carta di credito."
frontend_directdebit;"Addebito diretto"
frontend_directdebit_label_bankcode;"Codice bancario"
frontend_directdebit_label_holder;"Titolare conto"
frontend_directdebit_label_number;"Numero conto"
log_connectedSearch_button;"Ricerca connessa"
log_connectedSearch_description;"La ricerca connessa consente di elencare tutti i risultati della ricerca, nonché le voci di registro dalle query di ricerca."
log_date_title;"Data della voce"
log_deleteEntry_button;"Elimina voce"
log_deleteLog_button;"Registro vuoto"
log_devInfo_title;"Informare sviluppatore"
log_id_title;Id
log_merchantInfo_title;"Informazioni operatore commerciale"
log_processId_title;"ID processo"
log_search_button;Ricerca
log_title;"Registro PAYMILL"
log_version_title;"Versione modulo"
module_title;"Addebito diretto e pagamenti con carta di credito PAYMILL"
operations_title;"Opzioni di transazione PAYMILL"
refund_description;"Le transazioni riuscite possono essere rimborsate qui"
refund_label;Rimborso
