Basic_Setting;"Definições Básicas do Paymill"
TEXT_INFO_API_VERSION;"Versão API"
action_delete;"Apagar selecção"
amount_description;"Valor em menor notação disponível (ex. 100 para 1,00€)"
amount_label;Valor
backend_log_dev_info_additional;"Informações adicionais acerca do desenvolvimento"
capture_description;"Se o valor foi autorizado durante o checkout, o valor pode ser cobrado aqui."
capture_label;Cobrança
checkout_desc;"Texto descritivo"
checkout_generating_invoice;"Está a ser criada a factura"
config_acceptedCurrencies_description;"Se nada foi selecionado, todas as moedas serão aceites"
config_acceptedCurrencies_label;"Moedas aceites"
config_activate_text;Ativar
config_breadcrumb_payment;Pagamento
config_buttonSolution;"Activar o modo 'button-solution'"
config_countries_description;"Se nada foi selecionado, todos os países serão aceites"
config_countries_label;"Países aceites"
config_debugging_description;"Se ativado, a informação relevante será exibida na consola do navegador durante o processo de pagamento"
config_debugging_label;"Ativar a depuração"
config_fastCheckout_description;"Se ativado, os dados dos seus clientes serão armazenados pela PAYMILL e disponibilizados novamente para compras futuras. O cliente terá apenas de introduzir os seus dados uma vez. Esta solução é compatível com o PCI."
config_fastCheckout_label;"Ativar o checkout rápido"
config_general_header;"Definições principais"
config_logging_description;"Se ativado, a informação relativa ao progresso da ordem de processamento será gravada no registo."
config_logging_label;"Ativar o registo."
config_order_state_label;"Estado da Encomenda"
config_payment_cc;"Activar cartão de crédito"
config_payment_date;"Marcar encomenda como paga"
config_payment_elv;"Activar débito directo"
config_payment_header;"Definições de Pagamento"
config_preAuth_description;"Se ativado, você terá de capturar manualmente as transações recebidas."
config_preAuth_label;"Pré-autorize as transações durante o checkout. A cobrança será manual."
config_preAuth_label_magento;"Pré-autorize as transações durante o checkout. A cobrança será realizada ao gerar as faturas."
config_privateKey_description;"Você pode encontrar a sua chave privada no cockpit da PAYMILL."
config_privateKey_label;"Chave privada"
config_publicKey_description;"Você pode encontrar a sua chave pública no cockpit da PAYMILL."
config_publicKey_label;"Chave pública"
config_save;Guardar
config_sepa_active_description;"Actualmente apenas são suportados dados bancários provenientes da Alemanha"
config_sepa_active_label;"Mostrar formulário SEPA"
config_showlabel_description;"Exibe o selo PAYMILL abaixo do formulário de pagamento durante o checkout."
config_showlabel_label;"Exibir o selo PAYMILL durante o checkout."
config_sort_description;"Posição do mostrador durante o checkout."
config_sort_label;Sequência
config_title;PAYMILL
config_tokenTolerance_description;"Valor que será sobretaxado ao gerar o Token PAYMILL. Isto serve para evitar desvios do 3-D secure."
config_tokenTolerance_label;"Valor de tolerância do token"
config_transaction_order_status_id_description;"Incluir dados sobre a transacção neste nível do estado da encomenda"
config_transaction_order_status_id_label;"Estado da Transacção da Encomenda"
config_webhooks_create;"Criar Webhooks"
config_webhooks_description;"Sincronizar os meus reembolsos do PAYMILL Cockpit com a conta da minha loja automaticamente"
config_webhooks_label;"Permitir Webhooks"
config_webhooks_remove;"Remover Webhooks"
config_webhooks_url;"URL-Webhook registado"
config_zone_description;"Introduza as zonas autorizadas para este módulo individualmente ( por exemplo: US, UK (deixar em branco para autorizar todas as zonas))"
config_zone_label;"Zonas Autorizadas"
currency_description;"Abreviação da moeda (ex. EUR)"
currency_label;Moeda
